Lat,Lon,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3757565819764,-71.1501656722698,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3756815859208,-71.1501440100677,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3758850022694,-71.1502033542763,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.375960299599,-71.1502259609998,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3760955753407,-71.1502652025208,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3784934591928,-71.1510041213187,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3786279703844,-71.1510433147768,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3762662253805,-71.1503122993066,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3763848950401,-71.1503464123662,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3770758230651,-71.1505610430017,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.377253185403,-71.1506185179084,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3774974193786,-71.1506959284272,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.377559614073,-71.1507169744499,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3780281906222,-71.1508669526389,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3776180731306,-71.1519483616316,21.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3770857718975,-71.1518124544592,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3768058925795,-71.1517410562049,17.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3766937408951,-71.1517135846452,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3764459487322,-71.1516511414587,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3761727010808,-71.1515824907429,17.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3756505458339,-71.1514492713456,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
