Lat,Long,Value
-26.17004474,28.0300097236,3435000
52.3499686881,4.91664017601,1031000
33.5999762156,-7.61636743309,3181000
37.5663490998,126.999730997,9796000
14.6041589548,120.982217162,11100000
25.6699951365,-100.329984784,3712000
52.5218186636,13.4015486233,3406000
43.8050122264,87.5750056549,2151000
30.6700000193,104.07001949,4123000
34.7500352163,135.460144815,11294000
-4.32972410189,15.3149718818,7843000
28.6000230092,77.1999800201,317797
12.9699951365,77.5600097238,6787000
37.9833262319,23.7333210843,3242000
33.3386484975,44.3938687732,5054000
9.03331036268,38.700004434,3100000
35.6719427684,51.4243440336,7873000
49.2734165841,-123.121644218,2313328
43.6999798778,-79.4200207944,5213000
-34.6025016085,-58.3975313737,12795000
34.5166902863,69.1832600493,3277000
48.2000152782,16.3666389554,2400000
-37.8200313123,144.975016235,4170000
25.03583333333,121.56833333333,6900273
-36.84805489493,174.76302698708,1377200
33.9899782502,-118.179980511,12500000
38.8995493765,-77.0094185808,4338000
40.749979064,-73.9800169288,19040000
51.4999947297,-0.11672184386,8567000
41.1049961538,29.0100015856,10061000
24.6408331492,46.7727416573,4465000
-33.9200109672,18.4349881578,3215000
55.7521641226,37.6155228259,10452000
19.4424424428,-99.1309882017,19028000
6.44326165348,3.39153107121,9466000
41.8959556265,12.4832584215,3339000
39.9288922313,116.388285684,11106000
-1.28334674185,36.8166568591,3010000
-6.17441770541,106.829437621,9125000
4.59642356253,-74.0833439552,7772000
30.0499603465,31.2499682197,11893000
31.2164524526,121.436504678,14987000
35.6850169058,139.751407429,35676000
19.0169903757,72.8569892974,18978000
48.8666929312,2.33333532574,9904000
-33.4500138155,-70.6670408546,5720000
22.4949692983,88.3246756581,14787000
-22.9250231742,-43.2250207942,11748000
-23.558679587,-46.6250199804,18845000
-33.9200109672,151.185179809,4630000
1.29303346649,103.855820678,5183700
22.304980895,114.185009317,7206000
