LAT_DEG,LONG_DEG,As
23.754,90.582,0.5
23.755,90.581,0.5
23.778,90.526,0.5
23.831,90.554,0.5
23.875,90.581,31.9
23.865,90.551,0.7
23.787,90.605,180
23.787,90.659,70.8
23.788,90.705,1.1
23.779,90.678,0.5
23.751,90.667,76.6
23.7,90.516,1.1
23.717,90.512,0.5
23.649,90.476,0.5
23.764,90.165,9.6
23.772,90.205,0.8
23.817,90.122,1.9
23.833,90.085,45.6
23.607,90.496,0.5
23.591,90.501,25.7
23.652,90.524,3.1
23.869,90.023,12.9
23.851,90.001,43.6
23.88,90.071,12.8
23.816,90.062,4.6
23.802,90.02,9.1
23.757,90.019,51.9
23.847,89.829,14.8
23.897,89.8,43.2
23.867,89.775,5.9
23.823,89.792,30.4
23.836,89.872,4.7
23.968,89.83,0.5
23.744,89.978,65
23.748,90.016,12.9
23.764,89.962,82.7
23.771,89.91,88.8
23.774,89.9,1
23.877,89.91,20.2
23.893,89.878,15.4
23.926,89.859,35
23.893,89.89,18.6
23.871,89.839,30.6
23.801,89.96,20.1
23.975,89.906,14.7
23.947,89.931,0.8
23.919,89.835,13.2
23.937,89.783,12.2
23.991,90.044,2.9
23.972,90.041,18.2
23.972,89.992,3.6
23.994,89.96,8.2
23.969,89.967,0.5
23.95,90.023,31.2
23.917,90.034,0.5
23.918,89.979,62.8
23.899,90.041,14.9
23.906,90.194,0.5
23.926,90.179,3.6
23.995,90.081,21.2
23.961,90.082,5.9
23.946,90.115,29.9
23.92,90.139,3.6
23.893,90.13,107
23.834,90.26,1
23.88,90.268,0.5
23.91,90.301,0.5
23.933,90.308,0.5
23.991,90.248,0.5
23.911,90.234,0.5
23.79,90.269,0.5
23.794,90.293,0.5
23.73,90.339,13.3
23.73,90.317,0.5
23.732,90.276,43.3
23.687,90.287,98.4
23.686,90.308,0.5
23.701,90.384,0.5
23.667,90.434,0.5
23.632,90.081,262
23.642,90.047,11.7
23.595,90.139,107
23.577,90.148,65
23.538,90.176,81.1
23.659,90.166,94.2
23.644,90.179,95.6
23.631,90.21,58.7
23.622,90.226,70.4
23.649,90.204,262
23.641,90.215,81.2
24.382,91.903,0.5
24.405,91.858,47.1
24.404,91.846,7.3
24.315,91.843,0.5
24.354,91.846,13.8
24.321,91.855,0.5
24.278,91.864,18.4
24.356,91.858,8.7
24.518,91.976,17.6
24.566,91.978,3.4
24.502,92.03,7.4
24.502,92.03,32.2
24.528,92.038,39
24.459,92.152,0.5
24.487,92.144,0.5
24.59,92.118,2.2
24.562,92.162,0.5
24.84,91.768,0.5
24.814,91.759,2.7
24.859,91.731,2.1
24.79,91.661,29.9
24.784,91.713,23
24.916,91.722,10
24.878,92.37,0.5
24.891,92.373,29.3
24.944,92.385,50.8
24.577,91.689,74.5
24.484,91.682,58.5
24.486,91.633,23.7
24.461,91.65,27.6
24.49,91.75,11.5
24.412,91.758,3.8
24.485,91.767,4.5
24.519,91.779,56.9
24.484,91.781,1.1
24.605,91.85,7.3
24.556,91.853,25
24.622,91.929,1.5
24.597,91.903,0.6
24.517,91.897,0.5
24.482,91.894,0.5
24.5,91.815,0.5
24.705,91.802,10.1
24.712,91.799,17.1
24.632,91.688,157
24.67,91.749,71.9
24.719,91.695,29.8
24.718,91.695,19.4
24.75,91.829,26.8
24.754,91.786,24.1
24.797,92.12,1.6
24.812,92.181,0.5
24.31,91.741,3.1
24.259,91.737,0.5
24.211,91.696,3.7
24.271,91.646,4.2
24.4,91.637,9.5
